code,LISA_Cluster,LISA_P_Value
E01000126,1,0.003
E01000127,1,0.004
E01000128,1,0.018
E01000129,1,0.001
E01000130,1,0.013
E01000131,1,0.001
E01000132,0,0.059
E01000133,0,0.069
E01000134,1,0.016
E01000135,0,0.479
E01000136,3,0.02
E01000137,0,0.315
E01000138,0,0.128
E01000139,0,0.443
E01000140,0,0.359
E01000141,0,0.215
E01000142,0,0.204
E01000143,0,0.443
E01000144,0,0.246
E01000145,0,0.236
E01000146,0,0.359
E01000147,1,0.002
E01000148,1,0.001
E01000150,1,0.003
E01000151,1,0.004
E01000152,1,0.006
E01000153,1,0.01
E01000154,1,0.001
E01000155,1,0.001
E01000156,0,0.13
E01000157,0,0.259
E01000158,0,0.29
E01000159,0,0.477
E01000160,0,0.339
E01000161,0,0.307
E01000162,0,0.194
E01000163,0,0.477
E01000164,0,0.303
E01000165,0,0.306
E01000166,0,0.437
E01000167,0,0.196
E01000168,0,0.47
E01000169,0,0.474
E01000170,0,0.454
E01000171,0,0.288
E01000172,0,0.363
E01000173,0,0.489
E01000174,0,0.487
E01000175,0,0.486
E01000176,0,0.431
E01000177,0,0.284
E01000178,0,0.294
E01000179,0,0.354
E01000180,0,0.066
E01000181,0,0.147
E01000182,3,0.011
E01000183,0,0.148
E01000184,0,0.376
E01000185,0,0.346
E01000186,0,0.177
E01000187,0,0.161
E01000189,0,0.198
E01000190,0,0.105
E01000191,0,0.058
E01000192,0,0.071
E01000193,0,0.113
E01000194,1,0.004
E01000195,0,0.166
E01000196,0,0.325
E01000197,0,0.325
E01000198,0,0.163
E01000199,0,0.358
E01000200,0,0.433
E01000201,0,0.299
E01000202,0,0.489
E01000203,0,0.295
E01000204,0,0.484
E01000205,0,0.146
E01000206,3,0.006
E01000207,3,0.019
E01000208,3,0.017
E01000209,0,0.129
E01000210,0,0.198
E01000211,0,0.215
E01000212,0,0.081
E01000213,0,0.116
E01000214,0,0.231
E01000215,0,0.332
E01000216,0,0.412
E01000217,0,0.377
E01000218,0,0.425
E01000219,0,0.079
E01000220,0,0.325
E01000221,0,0.074
E01000222,0,0.184
E01000223,1,0.009
E01000224,0,0.088
E01000225,0,0.32
E01000226,1,0.003
E01000227,0,0.067
E01000228,0,0.258
E01000229,0,0.126
E01000230,1,0.038
E01000231,0,0.143
E01000232,0,0.088
E01000233,0,0.129
E01000234,0,0.177
E01000235,0,0.051
E01000236,0,0.153
E01000237,1,0.026
E01000238,0,0.167
E01000239,1,0.013
E01000240,1,0.013
E01000241,0,0.193
E01000242,0,0.279
E01000243,0,0.126
E01000244,0,0.064
E01000245,0,0.109
E01000246,0,0.376
E01000247,0,0.193
E01000248,0,0.419
E01000249,0,0.202
E01000250,0,0.069
E01000251,0,0.37
E01000252,0,0.31
E01000255,2,0.049
E01000256,0,0.345
E01000257,0,0.184
E01000258,0,0.24
E01000259,0,0.168
E01000260,1,0.028
E01000261,0,0.486
E01000262,0,0.414
E01000263,0,0.494
E01000264,0,0.269
E01000265,0,0.379
E01000266,0,0.366
E01000267,0,0.306
E01000268,0,0.165
E01000269,0,0.427
E01000270,0,0.472
E01000271,0,0.247
E01000272,0,0.436
E01000273,0,0.339
E01000274,0,0.498
E01000275,0,0.375
E01000276,0,0.198
E01000277,0,0.468
E01000278,0,0.221
E01000279,0,0.19
E01000280,0,0.401
E01000281,0,0.34
E01000282,0,0.366
E01000283,0,0.432
E01000284,0,0.389
E01000285,0,0.414
E01000286,0,0.337
E01000287,0,0.468
E01000288,0,0.479
E01000289,0,0.357
E01000291,0,0.474
E01000292,0,0.409
E01000293,0,0.345
E01000294,0,0.133
E01000295,0,0.473
E01000296,0,0.217
E01000297,0,0.385
E01000298,0,0.321
E01000299,0,0.498
E01000300,0,0.4
E01000301,0,0.452
E01000302,0,0.396
E01000303,0,0.403
E01000304,0,0.329
E01000305,1,0.006
E01000306,1,0.019
E01000307,1,0.014
E01000308,1,0.007
E01000309,1,0.003
E01000310,1,0.032
E01000311,0,0.121
E01000312,1,0.02
E01000313,1,0.021
E01000314,1,0.016
E01000315,0,0.154
E01000316,0,0.335
E01000317,0,0.176
E01000318,0,0.301
E01000319,0,0.388
E01000320,0,0.446
E01000321,0,0.479
E01000322,0,0.423
E01000323,0,0.43
E01000324,0,0.325
E01000325,0,0.13
E01000326,0,0.19
E01000327,0,0.19
E01000328,0,0.098
E01000329,0,0.117
E01000330,0,0.187
E01000331,0,0.066
E01000332,0,0.39
E01000333,0,0.319
E01000334,0,0.187
E01000335,0,0.174
E01000336,0,0.493
E01000337,0,0.45
E01000338,0,0.379
E01000339,0,0.079
E01000340,0,0.429
E01000341,0,0.148
E01000342,0,0.286
E01000343,0,0.101
E01000344,0,0.086
E01000345,0,0.122
E01000346,0,0.199
E01000347,0,0.161
E01000348,0,0.173
E01000349,3,0.021
E01000350,0,0.124
E01000351,0,0.143
E01000352,0,0.088
E01000353,0,0.285
E01000354,0,0.367
E01000355,0,0.284
E01000356,0,0.246
E01000357,0,0.385
E01000358,0,0.203
E01000359,0,0.402
E01000360,0,0.112
E01000361,0,0.189
E01000362,0,0.125
E01000363,0,0.082
E01000364,0,0.086
E01000365,0,0.111
E01000366,0,0.262
E01000367,0,0.458
E01000368,0,0.392
E01000369,0,0.362
E01000370,0,0.151
E01000371,0,0.265
E01000372,0,0.444
E01000373,0,0.383
E01000376,0,0.235
E01000377,0,0.314
E01000380,0,0.194
E01000382,0,0.075
E01000384,0,0.136
E01000385,0,0.168
E01000386,0,0.051
E01000387,0,0.136
E01000388,0,0.273
E01000389,0,0.13
E01000390,0,0.083
E01000391,0,0.13
E01000392,0,0.42
E01000393,0,0.48
E01000394,0,0.206
E01000395,0,0.205
E01000396,0,0.214
E01000398,0,0.301
E01000399,0,0.38
E01000400,0,0.421
E01000401,0,0.397
E01000402,0,0.15
E01000403,0,0.459
E01000404,0,0.398
E01000405,0,0.316
E01000406,0,0.437
E01000407,0,0.219
E01000408,0,0.486
E01000409,0,0.262
E01000410,0,0.356
E01000411,0,0.3
E01000412,0,0.115
E01000413,0,0.119
E01000414,0,0.308
E01000415,0,0.386
E01000416,0,0.437
E01000417,0,0.499
E01000418,0,0.343
E01000419,0,0.126
E01000420,0,0.191
E01000421,0,0.432
E01000422,0,0.253
E01000423,0,0.056
E01000424,0,0.138
E01000425,0,0.112
E01000426,0,0.141
E01000427,3,0.018
E01000428,3,0.049
E01000429,0,0.123
E01000431,0,0.173
E01000432,0,0.339
E01000433,0,0.203
E01000435,0,0.315
E01000436,0,0.341
E01000437,0,0.281
E01000438,0,0.252
E01000439,0,0.314
E01000440,0,0.287
E01000441,0,0.184
E01000442,0,0.234
E01000443,0,0.157
E01000445,3,0.011
E01000446,0,0.071
E01000447,0,0.07
E01000448,0,0.072
E01000449,3,0.036
E01000450,0,0.274
E01000451,0,0.472
E01000452,0,0.443
E01000453,0,0.439
E01000454,0,0.389
E01000455,0,0.472
E01000456,0,0.393
E01000457,0,0.132
E01000458,0,0.277
E01000459,0,0.118
E01000460,0,0.132
E01000461,0,0.052
E01000462,0,0.191
E01000463,0,0.243
E01000464,0,0.324
E01000465,0,0.192
E01000466,0,0.057
E01000467,1,0.001
E01000468,1,0.001
E01000469,0,0.113
E01000470,0,0.274
E01000471,1,0.002
E01000472,1,0.001
E01000473,1,0.001
E01000474,1,0.001
E01000475,1,0.001
E01000476,1,0.001
E01000477,1,0.001
E01000478,1,0.001
E01000479,1,0.003
E01000480,1,0.001
E01000481,1,0.002
E01000482,1,0.003
E01000483,1,0.001
E01000484,1,0.002
E01000485,1,0.002
E01000486,1,0.003
E01000487,1,0.001
E01000488,0,0.328
E01000489,0,0.282
E01000490,0,0.1
E01000491,0,0.069
E01000492,0,0.484
E01000493,0,0.394
E01000494,0,0.231
E01000495,0,0.09
E01000497,1,0.02
E01000498,1,0.004
E01000499,1,0.003
E01000501,1,0.039
E01000502,1,0.003
E01000503,0,0.073
E01000504,0,0.417
E01000505,0,0.361
E01000506,1,0.017
E01000507,0,0.292
E01000508,1,0.037
E01000509,1,0.004
E01000510,1,0.003
E01000511,1,0.03
E01000512,0,0.052
E01000513,1,0.009
E01000514,1,0.004
E01000515,1,0.002
E01000516,1,0.001
E01000517,1,0.001
E01000518,1,0.002
E01000519,1,0.002
E01000520,1,0.001
E01000521,1,0.017
E01000522,0,0.052
E01000523,0,0.137
E01000524,0,0.202
E01000525,2,0.034
E01000526,0,0.102
E01000527,1,0.022
E01000528,0,0.076
E01000530,0,0.404
E01000531,0,0.298
E01000532,0,0.292
E01000533,0,0.082
E01000534,0,0.193
E01000535,0,0.413
E01000536,1,0.001
E01000538,1,0.003
E01000539,1,0.002
E01000540,1,0.001
E01000541,1,0.001
E01000543,1,0.001
E01000544,0,0.265
E01000545,0,0.055
E01000546,0,0.104
E01000547,0,0.068
E01000548,0,0.057
E01000549,0,0.3
E01000550,0,0.484
E01000551,0,0.105
E01000552,0,0.449
E01000553,0,0.411
E01000554,0,0.146
E01000555,0,0.468
E01000556,0,0.265
E01000557,0,0.108
E01000558,0,0.161
E01000559,0,0.319
E01000560,0,0.137
E01000561,3,0.004
E01000562,1,0.005
E01000563,1,0.002
E01000564,1,0.001
E01000565,1,0.002
E01000566,1,0.002
E01000567,1,0.004
E01000568,1,0.001
E01000569,1,0.002
E01000570,1,0.001
E01000571,1,0.001
E01000572,1,0.001
E01000573,1,0.003
E01000574,1,0.001
E01000575,1,0.001
E01000576,1,0.004
E01000577,1,0.002
E01000578,1,0.001
E01000579,0,0.336
E01000580,3,0.013
E01000581,0,0.216
E01000582,0,0.132
E01000583,0,0.271
E01000584,3,0.043
E01000585,0,0.084
E01000586,0,0.075
E01000587,1,0.001
E01000588,1,0.002
E01000589,1,0.001
E01000590,1,0.001
E01000591,1,0.001
E01000592,1,0.001
E01000593,1,0.001
E01000594,1,0.001
E01000595,1,0.002
E01000596,1,0.003
E01000599,1,0.002
E01000600,1,0.001
E01000601,1,0.001
E01000602,1,0.007
E01000603,1,0.036
E01000604,1,0.004
E01000605,1,0.001
E01000606,1,0.003
E01000607,1,0.003
E01000608,1,0.001
E01000609,1,0.002
E01000610,1,0.001
E01000611,1,0.001
E01000612,1,0.001
E01000613,1,0.001
E01000615,1,0.001
E01000616,1,0.002
E01000617,1,0.001
E01000618,1,0.002
E01000619,1,0.001
E01000620,1,0.001
E01000621,1,0.003
E01000622,1,0.002
E01000623,1,0.009
E01000624,1,0.005
E01000625,1,0.002
E01000626,1,0.001
E01000627,1,0.016
E01000628,1,0.01
E01000629,1,0.011
E01000630,1,0.001
E01000631,1,0.001
E01000632,1,0.001
E01000633,1,0.001
E01000634,1,0.001
E01000635,1,0.001
E01000636,1,0.004
E01000637,0,0.124
E01000638,1,0.014
E01000639,0,0.486
E01000640,0,0.083
E01000641,0,0.054
E01000642,0,0.204
E01000643,0,0.221
E01000644,0,0.1
E01000645,3,0.002
E01000646,3,0.014
E01000647,3,0.027
E01000648,3,0.004
E01000649,3,0.001
E01000650,3,0.013
E01000651,3,0.012
E01000652,3,0.023
E01000653,3,0.005
E01000655,0,0.199
E01000657,0,0.227
E01000658,0,0.109
E01000659,0,0.089
E01000661,3,0.009
E01000662,0,0.126
E01000663,3,0.018
E01000664,0,0.078
E01000665,3,0.034
E01000666,3,0.013
E01000667,0,0.09
E01000668,3,0.019
E01000669,0,0.1
E01000670,0,0.212
E01000671,3,0.034
E01000672,3,0.008
E01000673,3,0.002
E01000674,3,0.007
E01000675,4,0.012
E01000676,3,0.016
E01000677,3,0.019
E01000678,0,0.267
E01000679,3,0.038
E01000681,0,0.097
E01000682,0,0.118
E01000683,0,0.135
E01000684,0,0.07
E01000685,0,0.095
E01000686,0,0.084
E01000687,0,0.077
E01000688,0,0.104
E01000689,3,0.007
E01000690,3,0.008
E01000691,3,0.032
E01000692,3,0.018
E01000693,3,0.008
E01000694,3,0.001
E01000695,3,0.001
E01000696,3,0.002
E01000697,3,0.018
E01000698,3,0.003
E01000699,3,0.002
E01000700,3,0.001
E01000701,3,0.001
E01000702,3,0.001
E01000703,3,0.001
E01000704,3,0.001
E01000705,3,0.033
E01000706,3,0.006
E01000707,3,0.017
E01000708,3,0.008
E01000709,3,0.003
E01000710,3,0.02
E01000711,3,0.002
E01000712,3,0.001
E01000713,3,0.001
E01000714,3,0.001
E01000715,3,0.002
E01000716,3,0.002
E01000717,3,0.002
E01000718,0,0.143
E01000719,0,0.092
E01000721,0,0.264
E01000722,3,0.025
E01000723,0,0.135
E01000724,3,0.042
E01000725,3,0.025
E01000726,0,0.053
E01000727,3,0.005
E01000728,0,0.113
E01000729,0,0.071
E01000730,3,0.008
E01000731,3,0.037
E01000732,3,0.003
E01000733,3,0.025
E01000734,3,0.008
E01000735,3,0.007
E01000736,3,0.018
E01000737,3,0.025
E01000738,0,0.074
E01000739,0,0.102
E01000740,4,0.001
E01000741,0,0.432
E01000742,0,0.395
E01000743,3,0.018
E01000744,3,0.02
E01000745,3,0.009
E01000746,3,0.012
E01000747,3,0.034
E01000749,3,0.031
E01000750,0,0.163
E01000751,3,0.007
E01000752,3,0.036
E01000753,3,0.035
E01000754,0,0.114
E01000755,0,0.155
E01000756,3,0.033
E01000757,3,0.032
E01000758,0,0.131
E01000759,3,0.004
E01000760,3,0.004
E01000761,3,0.025
E01000762,0,0.092
E01000763,3,0.023
E01000764,0,0.052
E01000765,3,0.008
E01000766,3,0.009
E01000767,0,0.079
E01000768,3,0.013
E01000769,0,0.075
E01000770,0,0.054
E01000771,3,0.002
E01000772,3,0.001
E01000773,0,0.105
E01000774,3,0.033
E01000775,4,0.003
E01000777,0,0.133
E01000778,3,0.046
E01000779,3,0.013
E01000780,3,0.045
E01000781,3,0.024
E01000782,3,0.023
E01000783,3,0.016
E01000784,3,0.006
E01000785,3,0.016
E01000786,0,0.058
E01000787,3,0.034
E01000788,3,0.038
E01000789,0,0.053
E01000790,3,0.047
E01000791,3,0.029
E01000792,0,0.251
E01000793,0,0.06
E01000794,0,0.194
E01000795,0,0.117
E01000796,0,0.083
E01000797,3,0.001
E01000798,0,0.059
E01000799,3,0.001
E01000800,0,0.052
E01000801,3,0.001
E01000802,3,0.003
E01000803,3,0.001
E01000804,3,0.003
E01000805,3,0.006
E01000806,3,0.003
E01000807,3,0.004
E01000808,3,0.011
E01000809,3,0.014
E01000810,3,0.004
E01000811,3,0.027
E01000812,0,0.068
E01000813,3,0.004
E01000814,0,0.091
E01000815,3,0.003
E01000816,3,0.033
E01000818,3,0.003
E01000819,3,0.001
E01000820,3,0.001
E01000822,3,0.002
E01000823,3,0.003
E01000824,3,0.003
E01000825,0,0.092
E01000826,0,0.084
E01000827,3,0.017
E01000828,3,0.022
E01000829,0,0.296
E01000830,3,0.008
E01000831,3,0.026
E01000832,3,0.037
E01000833,0,0.069
E01000834,3,0.025
E01000835,3,0.046
E01000836,0,0.089
E01000837,0,0.1
E01000838,3,0.009
E01000839,0,0.074
E01000840,3,0.039
E01000841,3,0.023
E01000842,3,0.001
E01000843,3,0.001
E01000844,3,0.002
E01000845,3,0.002
E01000846,3,0.001
E01000847,0,0.14
E01000848,3,0.001
E01000849,3,0.001
E01000850,0,0.271
E01000851,0,0.299
E01000852,0,0.133
E01000853,0,0.118
E01000854,0,0.265
E01000855,0,0.331
E01000856,0,0.062
E01000857,3,0.003
E01000858,4,0.005
E01000859,3,0.011
E01000860,3,0.001
E01000861,0,0.475
E01000862,3,0.021
E01000863,3,0.04
E01000864,0,0.31
E01000865,0,0.067
E01000866,0,0.123
E01000867,0,0.135
E01000868,1,0.018
E01000869,0,0.321
E01000870,0,0.117
E01000871,3,0.006
E01000872,0,0.166
E01000873,3,0.005
E01000874,3,0.001
E01000875,0,0.059
E01000876,3,0.009
E01000877,3,0.017
E01000878,3,0.001
E01000879,3,0.002
E01000880,3,0.012
E01000881,3,0.001
E01000882,3,0.001
E01000883,3,0.011
E01000884,3,0.027
E01000885,3,0.001
E01000886,3,0.02
E01000887,3,0.001
E01000888,3,0.002
E01000889,3,0.035
E01000890,3,0.021
E01000891,0,0.157
E01000892,3,0.001
E01000893,3,0.001
E01000894,3,0.001
E01000895,3,0.001
E01000896,3,0.001
E01000897,3,0.001
E01000898,3,0.001
E01000899,3,0.001
E01000900,0,0.326
E01000901,0,0.261
E01000902,3,0.024
E01000903,3,0.011
E01000904,0,0.269
E01000905,0,0.112
E01000906,3,0.008
E01000907,3,0.001
E01000908,3,0.013
E01000909,3,0.002
E01000910,3,0.012
E01000911,3,0.001
E01000912,3,0.001
E01000913,3,0.001
E01000914,0,0.18
E01000915,0,0.47
E01000916,0,0.092
E01000917,0,0.191
E01000918,0,0.096
E01000919,3,0.013
E01000920,0,0.363
E01000921,3,0.001
E01000922,4,0.025
E01000923,0,0.057
E01000924,3,0.001
E01000925,4,0.002
E01000926,0,0.069
E01000927,0,0.358
E01000928,3,0.028
E01000929,0,0.129
E01000930,0,0.345
E01000931,4,0.003
E01000932,3,0.025
E01000933,0,0.1
E01000934,0,0.281
E01000935,0,0.092
E01000936,0,0.196
E01000937,0,0.5
E01000938,0,0.104
E01000939,0,0.132
E01000940,0,0.137
E01000941,0,0.288
E01000942,0,0.09
E01000943,0,0.452
E01000944,0,0.109
E01000945,1,0.046
E01000946,0,0.097
E01000947,0,0.498
E01000948,0,0.089
E01000949,0,0.183
E01000950,0,0.311
E01000951,0,0.069
E01000952,1,0.004
E01000953,0,0.09
E01000954,1,0.004
E01000955,1,0.002
E01000956,1,0.004
E01000957,2,0.037
E01000958,0,0.141
E01000959,0,0.377
E01000960,0,0.072
E01000961,0,0.109
E01000962,0,0.074
E01000963,4,0.017
E01000964,3,0.019
E01000965,3,0.001
E01000966,3,0.005
E01000967,0,0.057
E01000968,0,0.092
E01000969,3,0.009
E01000970,3,0.01
E01000971,3,0.002
E01000972,4,0.001
E01000973,3,0.003
E01000974,3,0.014
E01000975,0,0.126
E01000976,0,0.412
E01000977,0,0.127
E01000978,0,0.194
E01000979,0,0.09
E01000980,0,0.254
E01000981,0,0.08
E01000982,0,0.135
E01000983,3,0.049
E01000984,0,0.061
E01000985,0,0.322
E01000986,0,0.156
E01000987,0,0.404
E01000989,0,0.19
E01000990,0,0.175
E01000991,0,0.299
E01000992,0,0.111
E01000993,0,0.096
E01000994,0,0.252
E01000995,0,0.291
E01000996,0,0.403
E01000997,0,0.438
E01000998,0,0.418
E01000999,0,0.255
E01001000,0,0.464
E01001001,0,0.432
E01001002,0,0.261
E01001003,0,0.408
E01001004,0,0.299
E01001005,1,0.011
E01001006,1,0.033
E01001007,0,0.057
E01001008,1,0.04
E01001009,1,0.021
E01001010,1,0.008
E01001011,1,0.031
E01001012,2,0.012
E01001013,1,0.005
E01001014,0,0.085
E01001015,0,0.115
E01001016,0,0.082
E01001018,0,0.153
E01001019,0,0.18
E01001020,0,0.247
E01001023,0,0.09
E01001024,0,0.123
E01001028,0,0.305
E01001029,0,0.122
E01001030,0,0.11
E01001031,0,0.067
E01001032,3,0.044
E01001033,0,0.167
E01001034,3,0.025
E01001035,0,0.463
E01001036,0,0.096
E01001037,0,0.465
E01001038,3,0.007
E01001039,3,0.022
E01001040,0,0.062
E01001041,0,0.225
E01001042,2,0.01
E01001043,1,0.031
E01001044,0,0.359
E01001045,0,0.249
E01001046,0,0.415
E01001047,0,0.195
E01001048,1,0.009
E01001049,0,0.242
E01001050,0,0.467
E01001051,0,0.267
E01001052,0,0.19
E01001053,0,0.25
E01001054,0,0.326
E01001055,0,0.371
E01001056,0,0.296
E01001057,0,0.283
E01001058,0,0.109
E01001059,0,0.091
E01001061,0,0.122
E01001062,0,0.348
E01001063,0,0.262
E01001064,0,0.075
E01001065,0,0.154
E01001066,0,0.168
E01001067,0,0.106
E01001068,0,0.217
E01001069,0,0.06
E01001070,0,0.066
E01001073,0,0.085
E01001074,0,0.071
E01001075,0,0.096
E01001076,0,0.121
E01001077,0,0.245
E01001078,0,0.123
E01001079,0,0.188
E01001080,0,0.447
E01001082,0,0.077
E01001083,0,0.264
E01001084,0,0.366
E01001085,0,0.216
E01001086,0,0.181
E01001087,0,0.226
E01001088,0,0.203
E01001089,0,0.205
E01001090,0,0.368
E01001091,0,0.135
E01001092,0,0.482
E01001093,0,0.209
E01001094,0,0.414
E01001095,0,0.11
E01001096,0,0.106
E01001097,3,0.045
E01001098,0,0.184
E01001099,3,0.033
E01001100,0,0.06
E01001101,0,0.193
E01001102,0,0.175
E01001103,0,0.134
E01001107,3,0.047
E01001108,0,0.119
E01001109,0,0.416
E01001110,0,0.188
E01001111,0,0.229
E01001112,0,0.456
E01001113,0,0.494
E01001114,0,0.403
E01001115,0,0.216
E01001116,0,0.406
E01001117,0,0.11
E01001118,0,0.455
E01001120,0,0.199
E01001122,0,0.146
E01001123,0,0.11
E01001124,0,0.08
E01001125,0,0.114
E01001126,0,0.101
E01001127,0,0.355
E01001128,0,0.227
E01001129,0,0.167
E01001130,0,0.242
E01001131,0,0.177
E01001132,0,0.115
E01001133,0,0.111
E01001134,0,0.362
E01001135,3,0.038
E01001136,0,0.315
E01001137,3,0.001
E01001138,0,0.099
E01001139,0,0.21
E01001140,3,0.015
E01001141,0,0.347
E01001142,0,0.073
E01001143,0,0.069
E01001144,0,0.304
E01001145,0,0.183
E01001146,0,0.155
E01001147,0,0.26
E01001148,0,0.417
E01001149,0,0.059
E01001150,0,0.19
E01001151,0,0.497
E01001152,0,0.227
E01001153,0,0.26
E01001154,0,0.18
E01001155,0,0.432
E01001156,3,0.026
E01001157,0,0.231
E01001158,0,0.094
E01001159,0,0.273
E01001160,0,0.277
E01001161,0,0.273
E01001162,3,0.007
E01001163,0,0.223
E01001164,3,0.001
E01001165,2,0.027
E01001166,0,0.188
E01001167,0,0.087
E01001168,0,0.449
E01001169,0,0.123
E01001170,0,0.329
E01001171,0,0.422
E01001172,0,0.102
E01001173,0,0.186
E01001174,0,0.059
E01001175,0,0.163
E01001176,1,0.016
E01001177,1,0.011
E01001178,1,0.013
E01001179,0,0.105
E01001180,1,0.004
E01001181,1,0.009
E01001182,0,0.157
E01001183,0,0.069
E01001184,1,0.039
E01001185,0,0.324
E01001186,0,0.124
E01001187,0,0.286
E01001188,0,0.393
E01001189,0,0.24
E01001190,0,0.061
E01001191,0,0.184
E01001192,0,0.123
E01001193,0,0.212
E01001194,3,0.013
E01001195,0,0.109
E01001196,0,0.146
E01001197,0,0.412
E01001198,0,0.174
E01001199,0,0.436
E01001200,0,0.253
E01001201,0,0.187
E01001202,0,0.147
E01001203,0,0.416
E01001204,0,0.326
E01001205,0,0.406
E01001206,0,0.488
E01001207,0,0.316
E01001208,0,0.215
E01001209,0,0.339
E01001210,0,0.188
E01001211,0,0.061
E01001212,3,0.039
E01001213,1,0.001
E01001214,1,0.001
E01001215,1,0.001
E01001216,1,0.001
E01001217,1,0.001
E01001218,1,0.002
E01001219,1,0.001
E01001220,1,0.002
E01001221,4,0.022
E01001222,0,0.092
E01001223,0,0.168
E01001224,0,0.274
E01001225,0,0.315
E01001226,0,0.196
E01001227,0,0.429
E01001228,0,0.249
E01001229,0,0.156
E01001230,0,0.068
E01001231,0,0.314
E01001232,0,0.252
E01001233,0,0.196
E01001234,0,0.369
E01001235,0,0.323
E01001236,0,0.31
E01001237,0,0.089
E01001238,0,0.116
E01001239,1,0.038
E01001240,1,0.01
E01001241,0,0.091
E01001242,2,0.05
E01001243,0,0.365
E01001244,0,0.377
E01001245,0,0.426
E01001246,1,0.004
E01001247,1,0.004
E01001248,0,0.188
E01001249,0,0.491
E01001250,0,0.306
E01001251,0,0.199
E01001252,0,0.08
E01001253,0,0.143
E01001254,0,0.476
E01001255,0,0.199
E01001257,1,0.002
E01001258,1,0.008
E01001259,1,0.015
E01001260,0,0.076
E01001261,1,0.004
E01001262,1,0.014
E01001263,1,0.004
E01001264,1,0.018
E01001265,1,0.021
E01001266,1,0.004
E01001267,1,0.009
E01001268,1,0.028
E01001269,1,0.002
E01001270,1,0.009
E01001271,1,0.005
E01001272,1,0.004
E01001273,0,0.342
E01001274,0,0.09
E01001275,0,0.304
E01001276,1,0.003
E01001277,1,0.018
E01001278,1,0.014
E01001279,0,0.467
E01001280,0,0.285
E01001281,0,0.186
E01001282,0,0.178
E01001283,0,0.19
E01001284,1,0.036
E01001285,0,0.484
E01001286,0,0.401
E01001287,0,0.319
E01001288,0,0.494
E01001289,0,0.435
E01001290,0,0.285
E01001291,1,0.001
E01001292,1,0.001
E01001293,1,0.001
E01001294,1,0.001
E01001295,1,0.001
E01001296,1,0.001
E01001297,1,0.001
E01001298,1,0.001
E01001299,0,0.096
E01001300,0,0.156
E01001301,0,0.142
E01001302,3,0.023
E01001303,3,0.044
