code,name,x,y,Retail,Bus Stop Density,Catering,Student percentage,house hold language,Mobile Station Density,Multi-ethnic ratio,Multiple Faith Ratio,Social,Street Density,art count,Edu Count,bench count,bank atm count,Public transport rate,Population,Population Density,ImperviuosSurfaceRatio,BuildingCoverRatio,BuildingAge_averageyear,BuildingVolumn_sum,VacantHouse_count_flip,PopulationDifference,GSCP_flip,TCCR_flip,ThermalIntensity_avg
E01033739,Greenwich 002E,544896.6114,180478.9876,-1,-1,-1,-0.745276806,-0.291464558,-1,0.388012618,0.240912511,-1,-0.961584276,-1,-1,-0.982532751,-1,0.265721319,-0.026235858,-0.949864304,-2.250974259,-1.397466036,2.815860113,-0.257778378,0.587223275,-0.154264555,-0.061572989,0.569748842,0.358976669
E01000001,City of London 001A,532150.8396,181617.4609,-0.923076923,-0.229286608,-0.974358974,-0.86487536,-0.570299699,0.733659731,-0.104100946,-0.770034041,-0.975460123,-0.037462775,-0.891891892,-1,-0.755458515,-0.962962963,-0.42843196,-0.795828361,0.300502766,1.824232967,8.103359811,1.212065762,4.960818564,-2.157352461,4.065068834,0.613999045,0.769521774,-0.177069629
E01033740,Greenwich 002F,544827.1008,179961.7198,-1,-0.571214018,-1,-0.698622399,-0.176782685,-1,0.141955836,0.271139234,-1,-0.491304348,-1,-1,-0.930131004,-1,0.235150459,0.055435183,-0.324680769,-1.072559882,-0.824601705,2.646408673,-0.277672171,0.504054313,-0.147374959,-0.321035673,-0.357440687,-1.324794092
E01000002,City of London 001B,532443.3687,181643.6028,-0.923076923,-0.780851064,-0.923076923,-0.840052253,-0.449151641,-0.485924113,-0.375394322,-0.878499746,-0.877300613,-0.150506254,-0.837837838,-0.714285714,-0.327510917,-0.888888889,-0.450431356,-0.767557616,-0.480976653,2.098842367,4.551806105,1.513208261,5.906298124,-3.987069619,7.271812976,0.613999045,1.195992953,-0.230019046
E01033741,Greenwich 002G,545503.6222,179687.3213,-1,-0.780475594,-1,-0.759054714,-0.210944001,-0.991187271,-0.015772871,0.192112461,-1,-0.54353782,-1,-1,-1,-0.962962963,0.029824911,4.248929025,-0.79356842,0.515976702,0.021229091,2.797394269,1.472776817,0.420885352,-0.264860695,0.367025669,0.006683071,0.258276257
E01000003,City of London 001C,532205.5463,182030.0471,-1,-0.576345432,-0.987179487,-0.922335359,-0.498838492,0.243084455,-0.337539432,-1,-0.987730061,-0.416259678,-0.972972973,-1,-1,-1,-0.361342901,-1.241877893,2.019757487,1.681297827,15.2285603,1.289081169,3.066235783,-3.07221104,1.776997875,0.613999045,0.911361089,-0.543444822
E01033742,Greenwich 007F,544442.2515,179692.6072,-1,-0.911013767,-1,-0.84637943,-0.233944537,-1,0.27444795,-0.005007683,-1,-0.783144729,-1,-1,-0.956331878,-1,0.472376541,-0.538250462,-0.637272536,-1.736863442,-1.036942509,2.586062727,-0.247435918,0.33771639,-0.106581301,-0.436739358,0.174731594,-4.159942672
E01000005,City of London 001E,533620.049,181152.8402,-0.961538462,-0.340050063,-0.730769231,-0.504804211,0.025153874,0.497184823,-0.097791798,-0.396920389,-0.693251534,0.083561644,-0.918918919,-0.857142857,-0.956331878,-0.925925926,0.108458003,-1.288995802,-0.480976653,2.223247963,3.35245419,1.115023856,4.660034983,-1.325662844,6.00394608,0.613999045,1.209160598,-0.570925273
E01000006,Barking and Dagenham 016A,544933.4484,184296.4813,-1,-1,-1,-0.72724222,0.279633071,-1,0.293375394,0.581214384,-1,-0.052114354,-1,-1,-1,-1,0.275078059,0.259612785,0.45679865,1.173844346,-0.434244173,0.190835139,-0.349198987,0.420885352,-0.16713722,0.613999045,0.49958044,1.496957922
E01033743,Greenwich 002H,545762.5118,180757.8945,-1,-0.963829787,-1,-0.600557666,-0.337663307,-1,-0.034700315,0.245610792,-0.987730061,-0.863787969,-1,-1,-0.641921397,-0.962962963,0.093764171,1.148570656,-1.262456071,-2.273081484,-1.442054461,2.815860113,-0.011802238,0.420885352,0.03538063,-2.643311673,-0.484717089,0.258276257
E01000007,Barking and Dagenham 015A,544141.9848,184437.6527,-1,-0.624780976,-1,-0.63441844,0.049933428,-0.559853121,-0.388012618,-0.055735823,-1,-0.095830852,-0.945945946,-1,-0.982532751,-0.925925926,0.585622925,-0.56023882,-0.324680769,1.311249551,-0.071543848,2.155038995,0.015854181,-0.577142189,0.179518222,0.613999045,0.609775794,0.477078622
E01033744,Greenwich 007G,544539.5644,179303.7033,-1,-0.658698373,-1,-0.815147546,-0.357174148,-1,-0.097791798,-0.095359253,-1,-0.492614652,-1,-1,-1,-1,0.196346038,0.432378449,0.45679865,0.296005121,-0.15624899,2.246082585,-0.294746644,0.420885352,-0.150457147,0.613999045,-0.695778621,0.898654977
E01000008,Barking and Dagenham 015B,543627.3743,184387.5763,-1,-0.942302879,-1,-0.492633984,0.111239293,-0.729253366,-0.022082019,0.405752641,-1,-0.594460989,-0.945945946,-1,-0.973799127,-0.962962963,0.388658191,-0.469144197,-0.480976653,-0.038122974,-0.428418131,1.221640644,-0.068013559,0.83673016,0.147427211,-0.018927367,-0.22771968,-0.544242078
E01033745,Greenwich 002I,546168.6155,180007.327,-1,-0.866833542,-1,-0.66291211,-0.398887239,-1,0.09148265,0.317497317,-1,-0.55324598,-1,-1,-1,-1,0.067578054,0.74021545,-0.949864304,-0.242515932,-0.431535869,2.477319293,0.92411608,0.587223275,-0.061980235,-0.222359207,-0.869220943,-0.008090859
E01000009,Barking and Dagenham 016B,544601.6601,184456.548,-1,-0.413266583,-0.974358974,-0.738595628,0.486572556,-0.846756426,-0.425867508,0.251922643,-0.987730061,0.07176891,-1,-1,-1,-0.962962963,0.435708205,0.089988315,0.613094533,1.543912414,0.430307724,0.20583166,-0.225581649,0.005040543,-0.158978488,0.613999045,0.730439668,1.597407317
E01033746,Greenwich 038E,538053.8517,177045.4601,-1,-0.507509387,-0.987179487,-0.890312983,-0.658914023,-0.961321909,-0.041009464,-0.566062878,-1,0.262239428,-1,-1,-1,-1,0.244370006,-1.219889536,0.144206882,0.580840189,0.639115629,-0.947365434,-0.09920445,0.33771639,-0.059260657,0.613999045,-1.127042665,0.108557471
E01000010,Barking and Dagenham 015C,544228.2126,184047.2464,-0.884615385,-0.431414268,-0.948717949,0,0,-0.860954712,0,0,-0.975460123,-0.289755807,-1,-0.857142857,-0.868995633,-1,0,4.845755863,-0.168384885,0.87268965,0.20517828,1.360955304,0.876417222,0.83673016,0.117874472,-0.025893634,-0.25371486,1.095683687
E01000011,Barking and Dagenham 016C,544384.2482,184738.449,-1,-0.863454318,-1,-0.626681655,0.606395742,-1,-0.337539432,0.55160401,-1,-0.023228112,-1,-1,-1,-1,0.326953517,-0.387473156,1.238278068,0.899501541,0.469042516,-1.594166642,-0.361762879,0.254547428,-0.129969665,0.191422551,-0.033665791,1.968256644
E01000012,Barking and Dagenham 015D,543903.5404,184712.9304,-1,-0.91301627,-1,-0.640375593,0.165839761,-1,0.141955836,0.331712251,-1,-0.379154258,-1,-1,-1,-1,0.406391823,0.595720532,0.613094533,0.864455044,-0.23855317,1.423746611,-0.320161811,0.088209505,0.008728773,0.613999045,0.075925033,0.477078622
E01000013,Barking and Dagenham 013A,548967.6797,184880.925,-1,-0.458197747,-1,-0.786845305,-0.207873324,-0.788004896,-0.305993691,0.118340147,-1,-0.269267421,-1,-1,-0.982532751,-0.962962963,0.178009657,0.093129509,-0.168384885,0.409986558,0.211659886,-0.575750678,0.020260709,0.33771639,-0.143748856,0.613999045,0.586424317,0.463592067
E01000014,Barking and Dagenham 013B,548482.6476,184908.4289,-1,-0.963329161,-1,-0.787193821,-0.281798786,-1,-0.552050473,-0.028643148,-1,-0.493329363,-1,-1,-1,-1,-0.033534872,-0.199001522,-0.79356842,-1.401472452,-1.085261435,-0.441258877,-0.341864131,0.420885352,-0.091895584,-2.388107385,0.86777181,-0.177069629
E01000015,Barking and Dagenham 009A,549590.4677,185038.0886,-1,-0.955444305,-1,-0.701970549,-0.211104883,-1,-0.337539432,0.130416722,-1,-0.401429422,-1,-1,-1,-1,0.064496979,2.024963751,-0.168384885,-0.51134751,-0.691568493,0.380942881,-0.209691389,0.504054313,-0.218809187,-0.151192841,0.295071851,0.463592067
E01000016,Barking and Dagenham 009B,549305.3592,185582.1794,-1,-0.811138924,-1,-0.730557056,-0.295166784,-1,-0.249211356,0.177525793,-1,-0.276831447,-1,-1,-1,-1,-0.080371625,-0.123612869,-0.168384885,0.614343934,-0.175742261,-0.666782333,-0.231245062,0.587223275,-0.120541797,0.613999045,0.622508657,1.111797339
E01000017,Barking and Dagenham 009C,548901.5387,185568.4543,-1,-0.762953692,-1,-0.742441899,-0.312745872,-0.474663403,-0.350157729,0.109696986,-1,-0.124955331,-1,-1,-1,-1,0.043289897,-0.274390176,0.144206882,0.277482317,-0.492622682,-0.592549357,-0.370077147,0.420885352,-0.124711816,0.613999045,0.574669368,0.887886207
E01000018,Barking and Dagenham 009D,549321.4069,185263.6659,-1,-1,-1,-0.760630317,-0.289137278,-0.887392901,-0.482649842,0.037028889,-1,-0.270458606,-1,-1,-1,-1,0.011052328,0.06171757,-0.012089001,0.277916573,-0.355521495,-0.56339272,-0.320057759,0.670392237,-0.129607055,0.613999045,0.564713242,0.887886207
E01000019,Barking and Dagenham 023A,547094.0189,186498.9695,-1,-0.931914894,-1,-0.737888846,-0.082207991,-1,-0.293375394,0.507560769,-1,-0.213162597,-1,-1,-1,-1,-0.182438743,-0.814675525,-0.324680769,0.219081694,-0.335091935,-0.440938008,-0.30395444,0.504054313,-0.065425032,0.001347574,0.187203711,1.128902279
E01000020,Barking and Dagenham 023B,547394.5408,186297.1994,-1,-0.532165207,-1,-0.738748365,-0.202666356,-1,-0.318611987,0.222237094,-1,-0.111792734,-1,-1,-1,-1,-0.117465955,0.536037848,-0.012089001,0.277256609,-0.449002149,-0.027224914,-0.293800265,0.587223275,-0.153176724,0.613999045,0.001727488,1.417924173
E01000021,Barking and Dagenham 008A,546797.4472,186071.3045,-0.961538462,-0.630663329,-1,-0.750905179,-0.052592844,-1,-0.299684543,0.151492376,-1,-0.201786778,-1,-1,-1,-1,-0.071391192,-0.456579421,-0.012089001,0.310842616,-0.342781694,0.002059088,-0.312975602,0.83673016,-0.11745961,-0.238174864,0.03107241,0.759569529
E01000022,Barking and Dagenham 008B,547151.6799,186038.1797,-1,-1,-1,-0.7085147,-0.201870945,-0.961811506,-0.34384858,0.268284573,-1,0.049434187,-1,-1,-1,-1,-0.216851448,-1.323548935,-0.012089001,0.6920875,-0.280908787,-0.04593825,-0.37219783,0.670392237,-0.078841613,0.613999045,0.632573323,1.153440537
E01000023,Barking and Dagenham 008C,546469.2081,185696.651,-1,-0.818898623,-1,0,0,-0.858506732,0,0,-1,-0.582191781,-1,-1,-1,-1,0,1.129723493,-0.012089001,0.265151009,-0.267228966,1.921354082,-0.104471474,0.83673016,-0.203942165,-0.031289058,0.012902048,0.759569529
E01000024,Barking and Dagenham 008D,547134.7924,185721.6513,-1,-0.805506884,-1,-0.743357077,-0.104857579,-1,-0.312302839,0.37291765,-1,-0.052709946,-1,-1,-1,-1,0.027719589,-1.175912822,0.144206882,0.807290315,-0.465373227,-0.593956923,-0.402475374,0.504054313,-0.08681904,0.613999045,0.849249373,1.198211664
E01000025,Barking and Dagenham 008E,546944.4656,185514.8401,-1,-0.918397997,-1,-0.761389566,-0.291605529,-1,-0.425867508,-0.137384105,-1,-0.28302561,-1,-1,-1,-1,0.023239958,-0.271248982,0.144206882,0.591834608,-0.495032225,-0.150565581,-0.371925312,0.587223275,-0.123986595,0.613999045,0.662353381,1.236521327
E01000027,Barking and Dagenham 001A,548473.1242,190175.6147,-1,-0.898122653,-1,-0.727798777,-0.410051659,-1,-0.299684543,0.020901109,-1,-0.780524122,-1,-1,-1,-1,-0.288874537,0.124541448,-1.418751955,-2.081544165,-1.440763324,0.959778506,-0.440444523,0.504054313,-0.065062422,-3.51131858,0.268957852,0.183137169
E01000028,Barking and Dagenham 001B,547631.283,189508.2264,-1,-1,-1,-0.606790154,-0.182879593,-1,-0.331230284,0.092764447,-1,-0.458784991,-1,-1,-1,-1,-0.056834431,-0.406320319,0.144206882,-0.096116487,-0.273312961,1.016401734,-0.633078211,0.504054313,-0.139034922,0.14919004,0.586738242,0.821479535
E01000029,Barking and Dagenham 001C,547977.928,188982.0435,-1,-0.902628285,-1,-0.78561546,-0.338391815,-0.866829865,-0.488958991,0.280448739,-1,-0.14437165,-1,-1,-1,-1,-0.275471952,-0.362343605,-0.637272536,0.060282511,-0.350530112,0.567939913,-0.633078211,0.504054313,-0.14284233,0.545480232,0.514076212,0.985892059
E01000030,Barking and Dagenham 001D,548129.3267,189334.93,-1,-0.737797247,-1,-0.690248196,-0.448955499,-1,-0.167192429,0.033157377,-1,-0.237403216,-1,-1,-1,-1,-0.125730024,1.176841401,-0.480976653,-0.846142959,-0.866695272,0.759560052,-0.633078211,0.420885352,-0.231137937,0.085231582,0.095023477,0.183137169
E01000031,Barking and Dagenham 002A,548653.263,189006.1179,-1,-0.925782228,-1,-0.765051209,-0.220360975,-0.965238678,-0.217665615,0.269439794,-1,-0.752531269,-1,-0.714285714,-1,-1,-0.100441002,-0.239837043,-1.262456071,-1.791117729,-1.284693795,0.193806894,-0.633078211,0.504054313,0.081794747,-3.163207526,0.281841377,0.417704704
E01000032,Barking and Dagenham 002B,547973.2193,188353.066,-1,-0.966708385,-1,-0.796350343,-0.064939868,-1,-0.27444795,0.19348156,-1,-0.614234663,-1,-1,-1,-1,-0.026810378,-0.268107788,-0.949864304,-0.892989159,-0.813815145,-0.138105334,-0.633078211,0.254547428,-0.059441963,-1.092486953,-0.55006021,0.48898608
E01000033,Barking and Dagenham 006A,550041.8116,186216.1911,-1,-0.913892365,-1,-0.775950165,-0.589377015,-1,-0.665615142,-0.208632916,-1,-0.260393091,-1,-1,-1,-1,-0.131374281,-0.861793433,-0.012089001,-0.24302943,-0.66013461,0.452229697,-0.393622677,0.83673016,-0.110751319,0.177970575,0.040187458,1.375425671
E01000034,Barking and Dagenham 003A,550634.3632,186484.8437,-1,-0.853817272,-1,-0.75214788,-0.483551054,-0.923623011,-0.362776025,0.120737708,-1,-0.679630733,-1,-1,-0.991266376,-1,-0.165209643,-0.736145677,-1.106160187,-1.401600194,-1.013045822,0.808171035,-0.154404977,0.587223275,-0.090626448,-2.051865134,-1.101654055,0.684246869
E01000035,Barking and Dagenham 010A,550060.9255,185631.2079,-1,-0.716395494,-1,-0.682325624,-0.206572286,-0.790452876,-0.457413249,0.146230842,-1,-0.661107802,-1,-1,-1,-1,0.101110695,0.011458468,-0.949864304,0.47728903,0.30780337,0.317537541,0.549159784,0.33771639,-0.006682165,-0.48506764,1.004094938,2.608616772
E01000036,Barking and Dagenham 010B,550431.4363,185258.2361,-1,-0.880475594,-1,-0.730493598,-0.126643463,-0.92998776,-0.337539432,0.344889301,-1,-0.614592019,-1,-1,-1,-1,0.202092173,-1.037700291,-1.106160187,0.81164503,-0.384411856,-0.217465579,0.185680613,0.420885352,0.065839894,0.185201624,0.731978574,-0.363052952
E01000046,Barking and Dagenham 017D,547126.4356,184089.8171,-1,-0.839048811,-1,-0.745153644,-0.282468649,-1,-0.413249211,0.125128376,-1,-0.349791543,-1,-1,-1,-1,0.047811819,0.199930102,0.300502766,0.353890775,-0.246554312,0.028096483,-0.336719327,0.420885352,-0.186899481,0.568721493,0.491194524,0.881594627
E01000048,Barking and Dagenham 021B,544624.563,183471.9003,-1,-0.613141427,-1,0,0,-1,0,0,-1,-0.639249553,-1,-1,-1,-1,0,0.02088205,2.644941022,1.201096355,0.535438741,1.0486297,-0.338304885,0.83673016,-0.124711816,0.613999045,0.822707565,1.332124972
E01000049,Barking and Dagenham 021C,544816.0575,183344.8613,-1,-0.823404255,-1,-0.428755365,0.164736246,-1,-0.186119874,0.387444004,-1,-0.48385944,-1,-1,-1,-1,0.248117046,0.404107704,-0.168384885,0.278966991,-0.220700143,0.85001516,0.000761654,-0.078128419,-0.08681904,-0.578353357,-0.297048286,0.777987055
E01000050,Barking and Dagenham 019C,544776.6965,183796.334,-0.923076923,-0.818272841,-0.987179487,-0.678253575,0.201043156,-0.858017136,-0.135646688,0.287230836,-1,-0.003513996,-1,-1,-1,-1,0.39871535,0.237624428,0.45679865,1.252493246,0.045024277,-0.059668228,-0.276532551,0.420885352,-0.149550621,0.613999045,0.586009378,1.540758804
E01000051,Barking and Dagenham 021D,544524.0348,183764.0599,-1,-0.624780976,-1,-0.630405113,0.013450015,-1,-0.324921136,0.167491525,-1,-0.528886242,-1,-1,-1,-1,0.373413258,-1.637668324,1.394573952,2.079388532,-0.165864696,1.159267066,-0.3377103,0.670392237,-0.062342845,0.613999045,1.208874906,1.548674999
E01000052,Barking and Dagenham 019D,545277.9477,183559.0536,-1,-0.812015019,-1,-0.751954659,0.120829035,-1,-0.173501577,0.342492111,-1,-0.017569982,-1,-1,-1,-1,0.32003578,1.217676922,0.144206882,0.6993373,-0.407843622,-0.482080202,-0.305128743,0.420885352,-0.178378139,0.155547808,0.27008681,0.901252719
E01000053,Barking and Dagenham 020A,548795.681,183717.5638,-1,-0.861702128,-1,-0.829264698,-0.38082339,-1,-0.545741325,-0.121109934,-1,-0.366408577,-1,-1,-1,-1,-0.02769648,-0.525685687,-0.168384885,0.405492665,-0.330892707,0.910565468,-0.297874817,-0.577142189,-0.09352733,0.185901846,0.259123787,0.751682151
E01000054,Barking and Dagenham 018A,547990.5184,184130.8386,-1,-1,-1,-0.747733314,-0.350497349,-1,-0.432176656,0.231094301,-1,-0.225550923,-1,-1,-1,-1,-0.002092162,0.124541448,0.144206882,0.421049795,-0.281150927,-0.666896256,-0.310818583,0.587223275,-0.13613404,-0.02363908,0.746291339,0.574588386
E01000055,Barking and Dagenham 018B,547566.1671,184025.4925,-1,-1,-1,-0.722726103,-0.304548643,-1,-0.38170347,0.250431777,-1,-0.350148898,-1,-1,-1,-1,-0.098644495,-0.239837043,0.300502766,0.467195862,-0.398255202,-0.674187914,-0.373028596,0.587223275,-0.133595768,0.613999045,0.60502818,0.970121522
E01000056,Barking and Dagenham 018C,548322.0186,183863.1243,-1,-1,-1,-0.768371028,-0.365352587,-0.879559364,-0.470031546,0.074908689,-1,-0.529660512,-1,-1,-0.982532751,-1,-0.156272228,-0.425167482,-0.480976653,-0.172401411,-0.574517358,0.440281195,-0.172316823,0.420885352,-0.080654665,-1.019110339,0.613695364,0.751682151
E01000057,Barking and Dagenham 012A,547587.5143,184273.6695,-1,-0.661076345,-1,-0.704216367,-0.204025623,-0.668543452,-0.167192429,0.244502899,-1,-0.145801072,-1,-1,-1,-1,0.10120028,-0.78640478,-0.012089001,0.494409891,-0.530713071,-0.250181203,-0.378786152,0.504054313,-0.122173544,0.613999045,0.764449517,0.970121522
E01000058,Barking and Dagenham 018D,548231.8719,184460.2874,-1,-0.725281602,-1,-0.611168093,-0.084650014,-1,-0.299684543,0.310539302,-1,-0.441334127,-1,-1,-1,-1,0.039752065,0.749639032,0.144206882,0.081753606,-0.565971189,0.078749877,-0.330268089,0.504054313,-0.166955915,0.613999045,0.702659959,0.574588386
E01000059,Barking and Dagenham 013C,548640.8224,184113.9703,-1,-1,-1,-0.747961137,-0.390959904,-1,-0.38170347,0.119889307,-1,-0.3064324,-1,-1,-0.982532751,-1,-0.21349849,-0.588509565,-0.324680769,-0.487934795,-0.643882588,-0.513946969,-0.326362002,0.420885352,-0.103136503,-1.514186239,0.45770831,0.643373929
E01000060,Barking and Dagenham 006B,549651.1101,186561.8487,-1,-0.863454318,-1,-0.684330743,-0.429045975,-0.884455324,-0.520504732,-0.017501178,-0.975460123,-0.604645622,-1,-1,-0.965065502,-0.962962963,-0.079029828,0.482637552,-1.106160187,-0.967188109,-1.030013127,0.22712203,-0.163619379,0.420885352,-0.095521687,-1.773061197,0.034254415,-0.177069629
E01000061,Barking and Dagenham 006C,549676.552,186996.1219,-1,-0.897496871,-1,-0.695648357,-0.477088772,-0.967686659,-0.627760252,-0.336625427,-0.987730061,-0.787373437,-1,-1,-0.965065502,-1,0.115979262,0.225059653,-1.106160187,-1.59097489,-1.22368712,1.354594842,-0.085733816,0.504054313,-0.066512863,-3.17466546,0.004224656,1.375031268
